Address,Building City,Building State,Building ZIP,Building Footprint,Building Footprint Sq Ft,Parcel Number,Year Built,Effective Year Built,Property Use,Stories,Land Area,Construction Type,Tax District,Land Value,Denver GIS Aerial Image URL,Denver GIS Aerial Photo Date,Denver GIS Aerial Image File
65 N YUMA ST,DENVER,CO,80223,"POLYGON ((-105.0155640374500052 39.7179352801891028, -105.0155636561379993 39.7177532457157980, -105.0155448926829962 39.7177523724741022, -105.0155461202569995 39.7176670223152968, -105.0155619762039976 39.7176671158447974, -105.0155596442619981 39.7174756474831980, -105.0155596298729961 39.7174744846598031, -105.0157691539230029 39.7174762806059007, -105.0157917700740029 39.7174764748595024, -105.0157941874520020 39.7172077214591965, -105.0158117062450032 39.7172078149886971, -105.0158175230599937 39.7172078464650014, -105.0158173611820018 39.7171860693815972, -105.0158116648759972 39.7171860442006022, -105.0157889893699945 39.7171859398793003, -105.0157889659879942 39.7171166318271034, -105.0158115317770040 39.7171165364989989, -105.0158168422729972 39.7171165149152969, -105.0158159141730039 39.7169918733763012, -105.0158112943559985 39.7169918922621008, -105.0157902754010024 39.7169919714024005, -105.0157887591440016 39.7167549262987976, -105.0158108392989931 39.7167548426618993, -105.0158141470050026 39.7167548300714017, -105.0158141281190041 39.7167523461438989, -105.0158108348019965 39.7167523533384994, -105.0157438847719931 39.7167525026259014, -105.0157436329619998 39.7166853826242985, -105.0158106405490059 39.7166849779293969, -105.0158132854549962 39.7166849626409970, -105.0158134833060046 39.7166656631899002, -105.0158166696040070 39.7161510423367972, -105.0158697457920027 39.7161510198536973, -105.0163801632139950 39.7161507950231965, -105.0164159580299952 39.7162126099240993, -105.0164586740289963 39.7162852778432978, -105.0164591740520024 39.7166135393834026, -105.0164592424000034 39.7166590091060030, -105.0164621085390024 39.7169700828031011, -105.0164642956909944 39.7172065946086974, -105.0164594951099986 39.7172065946086974, -105.0164594177680044 39.7172778119214982, -105.0164592666820056 39.7174086803663968, -105.0164592154199994 39.7174661758233967, -105.0164590031800032 39.7176526628402016, -105.0164589492210041 39.7177109928680991, -105.0164588988589998 39.7177524102456019, -105.0165186174399992 39.7177525937073028, -105.0165181506919936 39.7178424000068020, -105.0165127907330032 39.7178423334569999, -105.0164587990339982 39.7178416688580000, -105.0164584905670040 39.7181268528719968, -105.0164584896679969 39.7181285948587970, -105.0164584824729985 39.7181330743819032, -105.0164584833720056 39.7181338576913987, -105.0164584518959998 39.7181612735239966, -105.0164584527950069 39.7181628086667970, -105.0164584491979980 39.7181660911922023, -105.0164584114269957 39.7182018185591019, -105.0164452246669953 39.7182017906801974, -105.0158893564090050 39.7182005442197976, -105.0158167748240032 39.7182003814425002, -105.0157930794869969 39.7182003292817996, -105.0157920659510040 39.7179742298269005, -105.0157628523739959 39.7179744357716018, -105.0157624090080049 39.7179369826056998, -105.0155640374500052 39.7179352801891028))",150121,0508500065000,,,MANUFACTURING INDUSTRIAL-MEAT PACKING  Industrial 3215 3115 3215,,1.52,Industrial,DENV,1278900,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W119c.tif,20180313 20180317,aerial_images_80223_sample10/denver_gis/0508500065000-denver_gis-ai-crop.jpg
500 S SANTA FE DR,DENVER,CO,80223,"POLYGON ((-104.9928516169089932 39.7066609743245991, -104.9928443953530035 39.7066475942111978, -104.9928275204739947 39.7066163301795001, -104.9928200075370057 39.7066024122715007, -104.9928207422830013 39.7066021766491986, -104.9928142905470025 39.7065902696253019, -104.9928249016480066 39.7065868405102975, -104.9928292498699989 39.7065854339706021, -104.9928812837439978 39.7065686130510969, -104.9928851912989956 39.7065673504029988, -104.9929370390130003 39.7065505879392973, -104.9929450061070071 39.7065480131803028, -104.9929788386019993 39.7065370765249028, -104.9929853874660068 39.7065491607152978, -104.9929993872119951 39.7065446533131023, -104.9930035411800020 39.7065433160213033, -104.9930200059680061 39.7065380154172018, -104.9928585668690033 39.7062388991059976, -104.9930135335479946 39.7061889984235989, -104.9931470217180021 39.7064363263754032, -104.9935263656490037 39.7063141768578021, -104.9935144775109990 39.7062921560581970, -104.9933280759299947 39.7063521723150004, -104.9932445334080029 39.7061973872997029, -104.9934394731530034 39.7061346164194973, -104.9934100131620056 39.7060800473564015, -104.9934879969730019 39.7060549355867991, -104.9937131692269929 39.7064721229900996, -104.9937638613129991 39.7064557939997016, -104.9937811363899982 39.7064502361894966, -104.9939189817760052 39.7067056274628030, -104.9939042760610022 39.7067103623934017, -104.9939504940199981 39.7067959949392986, -104.9939440359879939 39.7067980741718003, -104.9939676036219964 39.7068417425524984, -104.9939802390969987 39.7068376731201980, -104.9940466477350043 39.7069607093692980, -104.9940355141280008 39.7069642922683030, -104.9940829021039974 39.7070520840864987, -104.9940947866449932 39.7070482565719018, -104.9941598552930060 39.7071688124906998, -104.9941472710799957 39.7071728648358970, -104.9941635065409997 39.7072029417623966, -104.9942911095470066 39.7071618535368032, -104.9944039456860025 39.7073709000471027, -104.9942764344099970 39.7074119585951024, -104.9934079015529989 39.7076916342616002, -104.9932444470740052 39.7073887992536996, -104.9932035872759997 39.7073130997197978, -104.9929941450640030 39.7069250539480976, -104.9929515279909964 39.7068460925732012, -104.9928516169089932 39.7066609743245991))",131819,0515300054000,1996,,MERCHANDISING COMMERCIAL-RETAIL 345: DISCOUNT DEPT STORE Commercial 2212 2112 2212,1,13.85,345: DISCOUNT DEPT STORE,DENV,16297100,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1E120a.tif,20180311 20180317,aerial_images_80223_sample10/denver_gis/0515300054000-denver_gis-ai-crop.jpg
1314 W EVANS AVE,DENVER,CO,80223,"POLYGON ((-105.0036395208470026 39.6764876072172967, -105.0036355944070010 39.6764875658486034, -105.0035741617180065 39.6764869147393995, -105.0032840746000034 39.6764838372593971, -105.0032526405969975 39.6764835027114984, -105.0032531945790026 39.6764522620622984, -105.0032575715799936 39.6762058891904985, -105.0032580122470023 39.6761810849891035, -105.0032636986610015 39.6758608507976973, -105.0032650278590012 39.6757859921299030, -105.0032674227529981 39.6756511369904032, -105.0032674398400019 39.6756501918030011, -105.0032698257419952 39.6755159401086033, -105.0032738151339942 39.6752914144673028, -105.0034871028470036 39.6752936762621999, -105.0034897549480064 39.6751444319699971, -105.0036217493440063 39.6751458322143975, -105.0036868260859961 39.6751465219944990, -105.0039324093529984 39.6751491264311014, -105.0039964617670023 39.6751498054192027, -105.0041013964620049 39.6751509178806003, -105.0041009629889999 39.6751752832128020, -105.0040928070369972 39.6756349087240991, -105.0040913105659968 39.6757191967835965, -105.0039224394689938 39.6760856786112015, -105.0038964661490013 39.6761420436205015, -105.0037367546469937 39.6764886387396984, -105.0037326906110025 39.6764885946728967, -105.0036395208470026 39.6764876072172967))",96700,0528100060000,1983,,MANUFACTURING INDUSTRIAL-FACTORY 401: MFG/PROCESSING Industrial 3215 3115 3215,3,9.81,401: MFG/PROCESSING,DENV,6952000,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W149b.tif,20180311 20180313,aerial_images_80223_sample10/denver_gis/0528100060000-denver_gis-ai-crop.jpg
2475 W 2ND AVE,DENVER,CO,80223,"POLYGON ((-105.0164512681109983 39.7218232022789977, -105.0164512114539974 39.7217380220920973, -105.0164503040380026 39.7204037231534031, -105.0164502968439990 39.7203981338668015, -105.0166953989729990 39.7203980322435015, -105.0166953926780025 39.7203885938586012, -105.0166953854839988 39.7203759889607966, -105.0167682593479981 39.7203759592832029, -105.0167682647440017 39.7203887485419997, -105.0167682728379930 39.7203978334933012, -105.0170142032429936 39.7203977327692002, -105.0170142104369972 39.7204046926225018, -105.0170142221290064 39.7204188569446970, -105.0170142437119978 39.7204525761255027, -105.0170143588260032 39.7206211369559981, -105.0170143822080036 39.7206565063927002, -105.0170145189050004 39.7208509092421025, -105.0170145431870026 39.7208873524693971, -105.0170367753270000 39.7208873425769013, -105.0170367906149949 39.7209123761052965, -105.0170124297799958 39.7209123841992024, -105.0170124450680049 39.7209328770507000, -105.0170124666520053 39.7209635853012983, -105.0170125062220023 39.7210201706444010, -105.0170388689490011 39.7210201598525998, -105.0170388842369960 39.7210441780463981, -105.0170122885860025 39.7210441879390004, -105.0170123020759974 39.7210614531236033, -105.0170123542369964 39.7211367830362008, -105.0170123821159933 39.7211768073637970, -105.0170124019009990 39.7212086757398026, -105.0170124144910062 39.7212252988084984, -105.0170371836189958 39.7212252898153011, -105.0170372007059996 39.7212472827360017, -105.0170130763920042 39.7212472908299006, -105.0170132166870047 39.7214517804752987, -105.0170132373710032 39.7214827657170986, -105.0170132706460038 39.7215297741797997, -105.0170133389940048 39.7216297877845008, -105.0170133614769981 39.7216632596517982, -105.0170356295910068 39.7216632542558017, -105.0170356421809998 39.7216794510459010, -105.0170356457779945 39.7216867472456983, -105.0170132778399932 39.7216867571382011, -105.0170133210079939 39.7217484317447997, -105.0170133515850068 39.7217939536281008, -105.0170133803629966 39.7218374376477001, -105.0170133965509933 39.7218610502472984, -105.0170134010480041 39.7218685757742023, -105.0170134109399953 39.7218794018129984, -105.0170134127390043 39.7218811420012017, -105.0170382367249999 39.7218811321085994, -105.0170382556109985 39.7219059228201985, -105.0170263656739991 39.7219059282161027, -105.0170130575070004 39.7219059336119997, -105.0170130754929971 39.7219336857910008, -105.0170130835870026 39.7219450379332031, -105.0170130934789938 39.7219592463222000, -105.0167635810740023 39.7219593470463010, -105.0167641827210048 39.7219842573676019, -105.0166925067539978 39.7219852888899965, -105.0166918826240021 39.7219593758246035, -105.0164513625399962 39.7219594729513972, -105.0164512681109983 39.7218232022789977))",90660,0508400048000,1971,,WAREHOUSE INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Industrial 2235 2135 2235,1,7.11,398: WAREHOUSE,DENV,8139600,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W118b.tif,20180313 20180317,aerial_images_80223_sample10/denver_gis/0508400048000-denver_gis-ai-crop.jpg
1390 W EVANS AVE,DENVER,CO,80223,"POLYGON ((-105.0048935175220066 39.6773404118305990, -105.0046692328990048 39.6772742729893011, -105.0057834416519995 39.6750181024035982, -105.0059243771080020 39.6750596609745969, -105.0060270760889978 39.6750899465437996, -105.0060603123330054 39.6750997464561976, -105.0061067434310047 39.6751134386343978, -105.0049925454700031 39.6773696128174009, -105.0048935175220066 39.6773404118305990))",85682,0528100023000,1972,,WAREHOUSE INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Industrial 2235 2135 2235,1,6.21,398: WAREHOUSE,DENV,6270700,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W149b.tif,20180311 20180313,aerial_images_80223_sample10/denver_gis/0528100023000-denver_gis-ai-crop.jpg
901 S JASON ST,DENVER,CO,80223,"POLYGON ((-104.9992987280540007 39.7010414463057018, -104.9992885810030003 39.7010414741847981, -104.9992862787390067 39.7005385526122012, -104.9995176212409973 39.7005379185901006, -104.9995172615119969 39.7004592935616003, -104.9995425486499983 39.7004592252131019, -104.9995425288650068 39.7004548652997968, -104.9995418049099953 39.7002965351570012, -104.9995417239710065 39.7002796117146985, -104.9995181455460056 39.7002796764658967, -104.9995178424740061 39.7002133109955011, -104.9995300723550002 39.7002132768213016, -104.9995300552679964 39.7002093917501000, -104.9995179360039970 39.7002094241257026, -104.9995176275359938 39.7001420091464965, -104.9995403012439965 39.7001419470932007, -104.9995394729679958 39.6999610061955011, -104.9995391492119978 39.6998902925029995, -104.9995390835619986 39.6998757486668978, -104.9995162659629955 39.6998758098208029, -104.9995157974159952 39.6997733320736970, -104.9995156634170002 39.6997440240674990, -104.9995398389920069 39.6997439602155993, -104.9995397121879961 39.6997161279970001, -104.9996245407400011 39.6997158959717993, -104.9996245308470009 39.6997137753704976, -105.0000530955740032 39.6997156045915034, -105.0000592775139978 39.7010636991305006, -104.9994921587360039 39.7010622305376017, -104.9994920598110042 39.7010409193029972, -104.9992987280540007 39.7010414463057018))",85233,0516400231000,1965,2005,WAREHOUSE INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Industrial 2235 2135 2235,1,2.14,398: WAREHOUSE,DENV,3689600,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W129d.tif,20180311 20180313 20180317,aerial_images_80223_sample10/denver_gis/0516400231000-denver_gis-ai-crop.jpg
730 S JASON ST,DENVER,CO,80223,"POLYGON ((-104.9985135731430006 39.7032073438438999, -104.9985136226059979 39.7031911416579035, -104.9985519777920047 39.7031912082076985, -104.9985519274290056 39.7032081055697006, -104.9985759033550039 39.7032081478377989, -104.9986670487450056 39.7032083052191993, -104.9987668195330031 39.7032084760904027, -104.9987668546069983 39.7031959026688028, -104.9987902999319971 39.7031959386416986, -104.9988108584339983 39.7031959755138999, -104.9988117226830013 39.7031959782119017, -104.9988116849110042 39.7032098007916971, -104.9989866713980007 39.7032101011652969, -104.9989867109679977 39.7031960231780019, -104.9989939109400012 39.7031960366677978, -104.9990251911600012 39.7031960906272019, -104.9990295861459941 39.7031960969223974, -104.9990295474759989 39.7032091541790990, -104.9990719145369980 39.7032092243263008, -104.9990707319289953 39.7036195247212973, -104.9990105924649981 39.7036194204000026, -104.9977101808800057 39.7036171792894024, -104.9976675656059939 39.7036171064443977, -104.9971960978219983 39.7036162907592995, -104.9971394693109943 39.7035764211150024, -104.9971405475979935 39.7032051081293034, -104.9975453603299940 39.7032058087011990, -104.9975454043970018 39.7031909644914975, -104.9975847893069982 39.7031910346385999, -104.9975847479380064 39.7032048590170987, -104.9978295451970070 39.7032052816984020, -104.9978295793719951 39.7031934430231033, -104.9978724482549950 39.7031935176667972, -104.9978724140810016 39.7032057736276016, -104.9978863958399984 39.7032057988085967, -104.9978864381090062 39.7031911641408968, -104.9979272925099991 39.7031912360868020, -104.9979272466450055 39.7032065956080018, -104.9981152094489971 39.7032069202631988, -104.9981152472209942 39.7031939925088011, -104.9981571223530068 39.7031940635553013, -104.9981570854809974 39.7032067287075989, -104.9981643573990056 39.7032067421974020, -104.9981639329189989 39.7031745410723005, -104.9981720618909975 39.7031744781196991, -104.9982019274769982 39.7031742442960009, -104.9982178841480049 39.7031741174915993, -104.9982371062569939 39.7031739673047994, -104.9982669682459999 39.7031737316823978, -104.9982674035179997 39.7032069202631988, -104.9983118246310028 39.7032069967056032, -104.9985135731430006 39.7032073438438999))",81994,0516400004000,1979,,WAREHOUSE INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Industrial 2235 2135 2235,1,4.58,398: WAREHOUSE,DENV,7365500,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W129d.tif,20180311 20180313 20180317,aerial_images_80223_sample10/denver_gis/0516400004000-denver_gis-ai-crop.jpg
1441 W BAYAUD AVE,DENVER,CO,80223,"POLYGON ((-105.0064577425309977 39.7152246488984986, -105.0064577605169944 39.7152155774370001, -105.0064332054279959 39.7152158229518975, -105.0064327377809974 39.7151879547604025, -105.0064578126779935 39.7151877056480984, -105.0064578306640044 39.7151782843504009, -105.0064328367059971 39.7151785343618968, -105.0064323555690038 39.7151498118143991, -105.0064578864219982 39.7151495573062974, -105.0064579035090020 39.7151403005844017, -105.0064340642809952 39.7151405398041035, -105.0064336173179953 39.7151138038589977, -105.0064579520730064 39.7151135592433988, -105.0064579547709940 39.7151122390387030, -105.0064653813719957 39.7151122336426994, -105.0064650567170048 39.7150927876021029, -105.0065033309639944 39.7150924053902017, -105.0065036619139960 39.7151122048643970, -105.0065153827789999 39.7151121976697965, -105.0065150320429979 39.7150913819617983, -105.0065515499139934 39.7150910186355972, -105.0065519024479954 39.7151121715895030, -105.0066161437199952 39.7151121239255005, -105.0066161706999992 39.7151337346342004, -105.0067283926010049 39.7151336554938013, -105.0067283800109976 39.7151232827133995, -105.0067283665210027 39.7151112326973035, -105.0067288224770010 39.7151112326973035, -105.0067288143829956 39.7150913585794001, -105.0068025165229955 39.7150906211353032, -105.0068028609630062 39.7151111805366028, -105.0068111599070022 39.7151111733421018, -105.0068111877859991 39.7151332382084021, -105.0069225184590067 39.7151331590681025, -105.0069225013720029 39.7151193778570004, -105.0069224923790046 39.7151108801630031, -105.0069243314929963 39.7151108783643991, -105.0069261301370034 39.7151108783643991, -105.0069262434510051 39.7150912209830977, -105.0069537743970045 39.7150916085909031, -105.0069684693190055 39.7150918145355973, -105.0069679504109956 39.7151108504854022, -105.0069713750289964 39.7151108468881020, -105.0069762124820016 39.7151108414921978, -105.0069761234489931 39.7150920690437985, -105.0070188205619957 39.7150921283990996, -105.0070187108450028 39.7151108100159007, -105.0070243945600055 39.7151108082172968, -105.0070280871759962 39.7151108064186005, -105.0070279864520018 39.7150918253274980, -105.0070459171350024 39.7150918801862005, -105.0070736522270067 39.7150919692190030, -105.0070756289370024 39.7150919755142979, -105.0071216562389935 39.7150921212044992, -105.0071393297159972 39.7150921760631022, -105.0071899561520041 39.7150923370418028, -105.0071894570280051 39.7151106877080977, -105.0071943196620055 39.7151106841107975, -105.0071960949239980 39.7151106832114991, -105.0071964168810013 39.7150911094672026, -105.0072132719750044 39.7150910546085001, -105.0072150571290024 39.7150910492126030, -105.0072310120019949 39.7150909970519024, -105.0072648786709948 39.7150908846367017, -105.0072654209619998 39.7151106319502034, -105.0072726065459960 39.7151106265541998, -105.0072742208290038 39.7151106256549014, -105.0072742406139952 39.7151343650589013, -105.0073009414849992 39.7151343443744977, -105.0074816827330011 39.7151342166707977, -105.0075019435600012 39.7151341995837015, -105.0075019120839954 39.7151168084940025, -105.0075019021909952 39.7151108900555982, -105.0075047512430046 39.7151108882570014, -105.0075051613339951 39.7150938559966988, -105.0075052251859944 39.7150911886075022, -105.0075121364759951 39.7150912290769966, -105.0075280904490000 39.7150913271031030, -105.0075423105290042 39.7150914152366994, -105.0075423294150028 39.7150939432309968, -105.0075424634139978 39.7151108612773029, -105.0075498621360026 39.7151108576800027, -105.0075506382510042 39.7150921814590987, -105.0075758885160013 39.7150918765889003, -105.0075882658859996 39.7150917282007967, -105.0075881085039953 39.7151108289017003, -105.0075915313239960 39.7151108271029969, -105.0075982231790022 39.7151108226063982, -105.0075983994470050 39.7150905941555976, -105.0076040354980051 39.7150906705980020, -105.0076199885720030 39.7150908828379983, -105.0076361898580046 39.7150911013732966, -105.0076368166860021 39.7151107983248011, -105.0076440571269956 39.7151107974254032, -105.0076440661210029 39.7151130835019970, -105.0076440993960034 39.7151341060542009, -105.0076684944049958 39.7151340925643979, -105.0079335713769950 39.7151338956128015, -105.0079570904469932 39.7151338794249966, -105.0079570751589984 39.7151206800754011, -105.0079570679640000 39.7151122714141991, -105.0079557270750001 39.7150917461871984, -105.0079557117870053 39.7150914404177016, -105.0079716882430034 39.7150914988735977, -105.0079984556639943 39.7150915951011001, -105.0080739105819987 39.7150918711930032, -105.0080860019670013 39.7150919152596984, -105.0082048797510055 39.7150923478337035, -105.0082556608700060 39.7150925339932996, -105.0082550628209930 39.7151120501809984, -105.0082696201470043 39.7151120402885027, -105.0082697586420011 39.7152230247229028, -105.0082697829240033 39.7152427981166980, -105.0082697856220051 39.7152466786913010, -105.0082701543440038 39.7155493527205010, -105.0064571327900040 39.7155493392306980, -105.0064571696629940 39.7155296305880015, -105.0064572721850027 39.7154741424177971, -105.0064577425309977 39.7152246488984986))",81546,0509506017000,1983,,WAREHOUSE INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Industrial 2235 2135 2235,1,2.72,398: WAREHOUSE,DENV,3581600,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W119c.tif,20180313 20180317,aerial_images_80223_sample10/denver_gis/0509506017000-denver_gis-ai-crop.jpg
600 W BAYAUD AVE,DENVER,CO,80223,"POLYGON ((-104.9950220200500013 39.7147294938710971, -104.9950200181589963 39.7147292654433031, -104.9950172446500005 39.7147288058896990, -104.9950145152079983 39.7147282114379010, -104.9950118388249933 39.7147274838862998, -104.9950092289929984 39.7147266259331033, -104.9950066956029957 39.7147256411753986, -104.9950042476479979 39.7147245323114007, -104.9950018986189946 39.7147233056360989, -104.9949996539109947 39.7147219656462980, -104.9949975270139930 39.7147205159390992, -104.9949955233250023 39.7147189655078989, -104.9949936518359976 39.7147173179498978, -104.9949919188420040 39.7147155858556005, -104.9949903369339950 39.7147137665271970, -104.9949889043139990 39.7147118752529025, -104.9949876335719949 39.7147099156302019, -104.9949865265070059 39.7147078984507971, -104.9949855885139982 39.7147058318088000, -104.9949848258890057 39.7147037210999017, -104.9949843150740065 39.7147018819863007, -104.9949842557190038 39.7147015780155002, -104.9949837404069939 39.7146984906429026, -104.9949834139529941 39.7146944886598021, -104.9949834400340052 39.7146904776834972, -104.9949838249440006 39.7146864774990007, -104.9949845605890033 39.7146825069921974, -104.9949847881169944 39.7146493516862975, -104.9949949261749964 39.7146493948537014, -104.9949953299699956 39.7145917042438015, -104.9951660995359930 39.7144751943747991, -104.9951909756830020 39.7144559650707976, -104.9952353338439934 39.7144175406370010, -104.9952661599050003 39.7143935125506005, -104.9953002415129930 39.7143598842014001, -104.9953485602879937 39.7143109035254014, -104.9954044081869995 39.7142276308006004, -104.9954723681550064 39.7142279122884005, -104.9954726793209971 39.7141835325439985, -104.9955524105150033 39.7141838634945969, -104.9955559457499987 39.7136750243829013, -104.9957794713450028 39.7136759488859994, -104.9960776307780037 39.7142308566686992, -104.9961140605149978 39.7142310068554991, -104.9963845172320021 39.7147297870501035, -104.9950313613079942 39.7147241779785034, -104.9950313217379971 39.7147297088090028, -104.9950284888739986 39.7147298095330967, -104.9950256506130017 39.7147297690636023, -104.9950228240439998 39.7147295865012993, -104.9950220200500013 39.7147294938710971))",76871,0510300039000,1954,,WAREHOUSE INDUSTRIAL-WAREHOUSE 398: WAREHOUSE Industrial 2235 2135 2235,1,2.83,398: WAREHOUSE,DENV,7743400,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1E110c.tif,20180311 20180317,aerial_images_80223_sample10/denver_gis/0510300039000-denver_gis-ai-crop.jpg
1377 S JASON ST,DENVER,CO,80223,"POLYGON ((-105.0000713356239999 39.6917830148742965, -105.0000237866679953 39.6917827945404014, -105.0000244170930017 39.6917012970773015, -104.9996698809599991 39.6916996648077003, -104.9996701525549980 39.6916635237527018, -104.9996745700249932 39.6910916178838988, -105.0003897208089967 39.6910949121005032, -105.0004465768480060 39.6910951747026033, -105.0004810253790026 39.6910953329833021, -105.0005290941419958 39.6910955551159006, -105.0005293198720011 39.6910658406160977, -105.0005684601659937 39.6910660204804984, -105.0005682164500058 39.6910976613281008, -105.0006524892209967 39.6910980498351975, -105.0007453037530070 39.6910984779124973, -105.0007402180870031 39.6917582160688980, -105.0003828077200012 39.6917565703095008, -105.0003825927820031 39.6917844492929035, -105.0000713356239999 39.6917830148742965), (-105.0004659689290065 39.6913158971109965, -105.0003834345479987 39.6913155148991024, -105.0003825729969975 39.6914269579878010, -105.0004651100770019 39.6914273375017004, -105.0004659689290065 39.6913158971109965))",70847,0521119012000,1961,,WAREHOUSE INDUSTRIAL-WAREHOUSE 397: OFFICE/WAREHOUSE Industrial 2235 2135 2235,1,3.47,397: OFFICE/WAREHOUSE,DENV,3609800,https://drapparchive.s3.us-east-2.amazonaws.com/2018/S1W139b.tif,20180311 20180313,aerial_images_80223_sample10/denver_gis/0521119012000-denver_gis-ai-crop.jpg
